method,seed,k,knn_accuracy,svm_accuracy,dataset
MI,4,200,56.15384615384615,56.53846153846154,madelon
MI,4,300,52.88461538461539,57.49999999999999,madelon
MI,4,500,51.92307692307693,57.692307692307686,madelon
MI,5,25,60.57692307692307,61.15384615384616,madelon
MI,5,50,57.88461538461539,61.53846153846154,madelon
MI,5,75,56.34615384615385,60.76923076923077,madelon
MI,5,100,57.30769230769231,58.65384615384615,madelon
MI,5,150,49.42307692307693,59.23076923076923,madelon
MI,5,200,52.11538461538462,55.769230769230774,madelon
MI,5,300,51.73076923076923,56.15384615384615,madelon
MI,5,500,52.88461538461539,52.69230769230769,madelon
MI,6,25,56.92307692307692,60.0,madelon
MI,6,50,60.0,59.80769230769231,madelon
MI,6,75,62.5,62.30769230769231,madelon
MI,6,100,54.03846153846153,63.653846153846146,madelon
MI,6,150,53.84615384615385,59.42307692307692,madelon
MI,6,200,55.38461538461539,59.23076923076923,madelon
MI,6,300,57.30769230769231,58.84615384615385,madelon
MI,6,500,56.34615384615385,57.11538461538461,madelon
MI,7,25,57.88461538461539,61.92307692307693,madelon
MI,7,50,57.11538461538461,57.692307692307686,madelon
MI,7,75,53.84615384615385,56.92307692307692,madelon
MI,7,100,53.65384615384615,56.730769230769226,madelon
MI,7,150,52.69230769230769,55.96153846153846,madelon
MI,7,200,52.307692307692314,54.230769230769226,madelon
MI,7,300,56.34615384615385,56.15384615384615,madelon
MI,7,500,50.57692307692307,54.807692307692314,madelon
MI,8,25,58.269230769230774,59.03846153846154,madelon
MI,8,50,58.84615384615385,55.769230769230774,madelon
MI,8,75,56.34615384615385,55.96153846153846,madelon
MI,8,100,56.53846153846154,56.34615384615385,madelon
MI,8,150,54.03846153846153,56.34615384615385,madelon
MI,8,200,52.307692307692314,54.42307692307692,madelon
MI,8,300,54.61538461538461,53.84615384615385,madelon
MI,8,500,54.807692307692314,53.46153846153846,madelon
MI,9,25,60.0,61.73076923076923,madelon
MI,9,50,58.07692307692308,60.96153846153847,madelon
MI,9,75,59.03846153846154,58.65384615384615,madelon
MI,9,100,51.53846153846153,56.730769230769226,madelon
MI,9,150,58.269230769230774,56.730769230769226,madelon
MI,9,200,56.15384615384615,55.19230769230769,madelon
MI,9,300,54.807692307692314,52.88461538461539,madelon
MI,9,500,56.730769230769226,54.61538461538461,madelon
MI,10,25,59.03846153846154,60.96153846153847,madelon
MI,10,50,58.07692307692308,58.07692307692308,madelon
MI,10,75,57.11538461538461,59.42307692307692,madelon
MI,10,100,55.769230769230774,59.03846153846154,madelon
MI,10,150,57.30769230769231,55.00000000000001,madelon
MI,10,200,51.92307692307693,56.34615384615385,madelon
MI,10,300,55.38461538461539,57.49999999999999,madelon
MI,10,500,53.84615384615385,53.46153846153846,madelon
MI,11,25,60.0,62.5,madelon
MI,11,50,58.84615384615385,62.5,madelon
MI,11,75,54.42307692307692,61.92307692307693,madelon
MI,11,100,56.34615384615385,62.69230769230769,madelon
MI,11,150,52.69230769230769,58.65384615384615,madelon
MI,11,200,52.307692307692314,55.769230769230774,madelon
MI,11,300,51.92307692307693,55.00000000000001,madelon
MI,11,500,48.84615384615385,53.26923076923077,madelon
MI,12,25,58.46153846153847,61.53846153846154,madelon
MI,12,50,61.92307692307693,59.80769230769231,madelon
MI,12,75,61.346153846153854,60.76923076923077,madelon
MI,12,100,60.76923076923077,59.03846153846154,madelon
MI,12,150,58.46153846153847,57.692307692307686,madelon
MI,12,200,59.80769230769231,55.19230769230769,madelon
MI,12,300,54.230769230769226,56.15384615384615,madelon
MI,12,500,54.03846153846153,54.42307692307692,madelon
MI,13,25,54.230769230769226,57.692307692307686,madelon
MI,13,50,54.03846153846153,56.15384615384615,madelon
MI,13,75,56.730769230769226,56.730769230769226,madelon
MI,13,100,55.96153846153846,56.92307692307692,madelon
MI,13,150,53.84615384615385,55.57692307692308,madelon
MI,13,200,54.42307692307692,56.15384615384615,madelon
MI,13,300,56.53846153846154,55.96153846153846,madelon
MI,13,500,56.34615384615385,53.65384615384615,madelon
MI,14,25,60.0,63.46153846153846,madelon
MI,14,50,63.07692307692307,59.80769230769231,madelon
MI,14,75,60.38461538461538,60.96153846153847,madelon
MI,14,100,57.88461538461539,59.80769230769231,madelon
MI,14,150,58.46153846153847,57.88461538461539,madelon
MI,14,200,57.49999999999999,55.19230769230769,madelon
MI,14,300,53.07692307692308,56.15384615384615,madelon
MI,14,500,52.88461538461539,53.46153846153846,madelon
MI,15,25,59.80769230769231,60.76923076923077,madelon
MI,15,50,57.88461538461539,60.57692307692307,madelon
MI,15,75,55.96153846153846,58.46153846153847,madelon
MI,15,100,57.88461538461539,58.65384615384615,madelon
MI,15,150,57.30769230769231,58.46153846153847,madelon
MI,15,200,55.00000000000001,54.61538461538461,madelon
MI,15,300,55.96153846153846,57.49999999999999,madelon
MI,15,500,58.65384615384615,54.03846153846153,madelon
MI,16,25,54.61538461538461,56.730769230769226,madelon
MI,16,50,59.80769230769231,56.53846153846154,madelon
MI,16,75,56.15384615384615,59.61538461538461,madelon
MI,16,100,57.11538461538461,60.38461538461538,madelon
MI,16,150,55.38461538461539,60.0,madelon
MI,16,200,56.730769230769226,57.49999999999999,madelon
MI,16,300,57.30769230769231,54.03846153846153,madelon
MI,16,500,52.5,52.69230769230769,madelon
MI,17,25,55.00000000000001,59.23076923076923,madelon
MI,17,50,56.92307692307692,59.42307692307692,madelon
MI,17,75,58.269230769230774,59.61538461538461,madelon
MI,17,100,58.65384615384615,59.80769230769231,madelon
MI,17,150,57.88461538461539,60.0,madelon
MI,17,200,54.61538461538461,58.07692307692308,madelon
MI,17,300,55.769230769230774,57.11538461538461,madelon
MI,17,500,55.19230769230769,58.65384615384615,madelon
MI,18,25,58.269230769230774,60.38461538461538,madelon
MI,18,50,58.65384615384615,57.88461538461539,madelon
MI,18,75,59.42307692307692,55.96153846153846,madelon
MI,18,100,56.92307692307692,54.807692307692314,madelon
MI,18,150,51.53846153846153,52.5,madelon
MI,18,200,54.03846153846153,52.69230769230769,madelon
MI,18,300,54.42307692307692,51.53846153846153,madelon
MI,18,500,51.34615384615384,49.80769230769231,madelon
MI,19,25,59.61538461538461,61.346153846153854,madelon
MI,19,50,55.769230769230774,60.38461538461538,madelon
MI,19,75,56.34615384615385,60.0,madelon
MI,19,100,56.92307692307692,58.07692307692308,madelon
MI,19,150,54.42307692307692,57.692307692307686,madelon
MI,19,200,57.30769230769231,59.23076923076923,madelon
MI,19,300,58.46153846153847,59.03846153846154,madelon
MI,19,500,56.15384615384615,59.03846153846154,madelon
MI,20,25,57.30769230769231,60.57692307692307,madelon
MI,20,50,59.61538461538461,59.80769230769231,madelon
MI,20,75,54.61538461538461,58.46153846153847,madelon
MI,20,100,57.692307692307686,58.65384615384615,madelon
MI,20,150,56.15384615384615,56.34615384615385,madelon
MI,20,200,55.38461538461539,55.96153846153846,madelon
MI,20,300,52.69230769230769,57.11538461538461,madelon
MI,20,500,51.73076923076923,54.61538461538461,madelon
MI,21,25,60.0,60.38461538461538,madelon
MI,21,50,57.88461538461539,60.0,madelon
MI,21,75,57.49999999999999,59.03846153846154,madelon
MI,21,100,54.42307692307692,57.30769230769231,madelon
MI,21,150,54.42307692307692,57.11538461538461,madelon
MI,21,200,53.84615384615385,52.88461538461539,madelon
MI,21,300,54.61538461538461,54.807692307692314,madelon
MI,21,500,52.5,58.07692307692308,madelon
MI,22,25,64.03846153846153,57.49999999999999,madelon
MI,22,50,59.42307692307692,58.46153846153847,madelon
MI,22,75,61.15384615384616,56.92307692307692,madelon
MI,22,100,54.42307692307692,57.692307692307686,madelon
MI,22,150,56.15384615384615,55.57692307692308,madelon
MI,22,200,54.61538461538461,56.730769230769226,madelon
MI,22,300,52.307692307692314,54.42307692307692,madelon
MI,22,500,53.84615384615385,57.11538461538461,madelon
MI,23,25,62.5,59.80769230769231,madelon
MI,23,50,59.61538461538461,59.80769230769231,madelon
MI,23,75,56.34615384615385,60.38461538461538,madelon
MI,23,100,55.00000000000001,60.57692307692307,madelon
MI,23,150,52.307692307692314,56.730769230769226,madelon
MI,23,200,55.19230769230769,56.92307692307692,madelon
MI,23,300,56.15384615384615,56.730769230769226,madelon
MI,23,500,53.26923076923077,56.92307692307692,madelon
MI,24,25,57.88461538461539,61.53846153846154,madelon
MI,24,50,57.692307692307686,61.92307692307693,madelon
MI,24,75,54.03846153846153,60.38461538461538,madelon
MI,24,100,55.38461538461539,58.46153846153847,madelon
MI,24,150,55.769230769230774,56.53846153846154,madelon
MI,24,200,53.84615384615385,57.692307692307686,madelon
MI,24,300,55.00000000000001,54.61538461538461,madelon
MI,24,500,54.230769230769226,56.730769230769226,madelon
Fisher,0,25,68.26923076923077,56.92307692307692,madelon
Fisher,0,50,61.92307692307693,56.92307692307692,madelon
Fisher,0,75,59.03846153846154,56.15384615384615,madelon
Fisher,0,100,57.692307692307686,55.769230769230774,madelon
